
# システムメッセージ(露店)
GAME_SMSG_STALL_ACS_ERR1,"露店が開けませんでした"
GAME_SMSG_RECV_BANK_MONEY_MAX_TEXT,"所持できる金額の上限を超えて指定しました"
GAME_SMSG_RECV_WAREHOUSE_FULL_TEXT,"倉庫が一杯になりました"
GAME_SMSG_RECV_PLACE_NOT_USE_TEXT,"指定した格納箇所は使用できません "
GAME_SMSG_RECV_CAPACITY_OVER_TEXT,"容量が上限を超えました"
GAME_SMSG_RECV_PAYLOAD_OVER_TEXT,"重量が上限を超えました"
GAME_SMSG_RECV_TRANCER_CAPACITY_OVER_TEXT,"憑依者の容量が上限を超えてます"
GAME_SMSG_RECV_TRANCER_PAYLOAD_OVER_TEXT,"憑依者の重量が上限を超えてます"
GAME_SMSG_RECV_IDENTIFY_BY_STACK_TEXT,"鑑定済みアイテムを取得した為、同じアイテムが鑑定されました"
GAME_SMSG_RECV_NOT_USE_PPROTECT,"パートナープロテクト中は使用できません"
GAME_SMSG_RECV_DISCONNECT_GAMESV_TEXT,"ネットワークが切断されました"

GAME_SMSG2_RECV_UNIT_REWARD,"ユニットに参加した%sが経験値 %lld、信頼度 %dポイントを取得しました"

# システムメッセージ(その他)
GAME_SMSG_LOGOUT_GOLEMERR1,"ゴーレムの起動に失敗しました"
GAME_SMSG_LOGOUT_GOLEMERR2,"ゴーレムは既に起動中です"
GAME_SMSG_LOGOUT_GOLEMERR3,"壊れている為ゴーレムは起動できません"
GAME_SMSG_LOGOUT_GOLEMERR4,"憑依中はゴーレムは起動できません"
GAME_SMSG_LOGOUT_GOLEMERR5,"重量か容量が上限を超えている為ゴーレムを起動できません"
GAME_SMSG_LOGOUT_GOLEMERR11,"アイテム欄に空きがない為買取ゴーレムを起動できません"
GAME_SMSG_LOGOUT_GOLEMERR12,"『命令チケット』の有効期間が過ぎています"
GAME_SMSG_LOGOUT_GOLEMERR13,"本マップではゴーレム収集命令ができません"

GAME_SMSG_PHISBATTLE_LOOK_ERR,"視線が通っていません"
GAME_SMSG_NOT_ENOUGH_SKILLLV,"スキルのレベルが足りません"

GAME_SMSG_CONNECTERROR_SAVER,"サーバーへの接続に失敗しました"

GAME_SMSG_LOGIN_ERR_PROTO_VERSION,"プロトコルバージョンが違います$r最新のクライアントにアップデートしてください"
GAME_SMSG_LOGIN_ERR_TIMEOUT,"ログインタイムアウト"
GAME_SMSG_LOGIN_ERR_ERR,"不明なエラー(%d)"
GAME_SMSG_LOGIN_ERR_UNKNOWN_ACC,"IDまたはパスワードが違います"
GAME_SMSG_LOGIN_ERR_BADPASS,"IDまたはパスワードが違います"
GAME_SMSG_LOGIN_ERR_BADSERVER,"サーバー異常によりログインできません"
GAME_SMSG_LOGIN_ERR_BFALOCK,"このアカウントは認証機能がロックされています"
GAME_SMSG_LOGIN_ERR_ALREADY,"既にログインしています$r現在のログイン状態をリセットいたします"
GAME_SMSG_LOGIN_ERR_IPBLOCK,"現在メンテナンス中です"
GAME_SMSG_LOGIN_ERR_IRAUTH_CONNERR,"IRAUTH通信エラー"
GAME_SMSG_LOGIN_ERR_STATE_NOT_100,"state != 100"
GAME_SMSG_LOGIN_ERR_WEBLOGIN_OTP_LIMIT,"Webログイン:セキュアログインボーナスの期限切れ"
GAME_SMSG_LOGIN_ERR_BANLOCK,"お客様のアカウントは接続制限措置が適用されています。$r$r本措置に関するお問い合わせにつきましては、$r「ゲーム内接続制限措置」フォームへご投稿ください。"
GAME_SMSG_LOGIN_OTP_MSG_0,"セキュアログインボーナスが未設定です。"
GAME_SMSG_LOGIN_OTP_MSG_1,"セキュアログインボーナス（ワンタイムパスワードやIDロック）を設定すると、色々な特典を受けることができます。"
GAME_SMSG_LOGIN_OTP_MSG_2,"ぜひご利用ください。"
GAME_SMSG_LOGIN_FRIEND_BLOCK,"フレンド申請の受け取りが不許可になっていますが解除しますか？"
GAME_SMSG_LOGIN_FRIEND_OFFLINE,"自身のフレンド状態がオフラインになっていますが、オンラインにしますか？"


GAME_SMSG_LOGIN_ERR_UNKNOWN_ACC_KALYDO,"IDまたはパスワードが違います$rログインに失敗したため再ログイン処理を行います"
GAME_SMSG_LOGIN_ERR_BADPASS_KALYDO,"IDまたはパスワードが違います$rログインに失敗したため再ログイン処理を行います"
GAME_SMSG_LOGIN_ERR_ALREADY_KALYDO,"既にログインしています$r現在のログイン状態をリセットいたします$rログインに失敗したため再ログイン処理を行います"

GAME_SMSG_GHLOGIN_ERR_101,"ゲーム料金が未払いか、利用期間切れです。$r簡単登録の方は正式登録をお済ませください。"
GAME_SMSG_GHLOGIN_ERR_102,"認証されていない、または利用停止されたID です。"
GAME_SMSG_GHLOGIN_ERR_103,"認証されていない、または利用停止されたID です。"
GAME_SMSG_GHLOGIN_ERR_104,"認証されていない、または利用停止されたID です。"
GAME_SMSG_GHLOGIN_ERR_105,"ECOは正式サービスとなりました。$rガンホーのアトラクションセンターで、アトラクションIDの紐付け処理をお願いします。"
GAME_SMSG_GHLOGIN_ERR_106,"βサービスは終了しました。正式サービス開始までお待ちください。"
GAME_SMSG_GHLOGIN_ERR_107,"お試し期間は終了しました。$r改めてアトラクションセンターでIDの作成をお願いします。"
GAME_SMSG_GHLOGIN_ERR_108,"ご入力された「お試しID」はクローズドベータテストの定員数、$r先着20,000名様の登録終了後に発行されたIDです。$r恐れ入りますが、ご入力された「お試しID」はそのまま所持していただき、$r次回実施予定のベータテストをお待ちください。$r（次回実施予定のベータテストはECO公式サイトでご案内いたします。）"
GAME_SMSG_GHLOGIN_ERR_109,"お試しプレイの利用期間が終了しています。$r再度お試しプレイで試遊されるか、GungHo Gamesへの登録をお願いいたします。"
GAME_SMSG_GHLOGIN_ERR_110,"IDまたはパスワードが違います"

GAME_SMSG_CHRCREATE_E_NAME_TOO_LONG,"キャラクター名が長すぎます"
GAME_SMSG_CHRCREATE_E_NAME_TOO_SHORT,"キャラクター名が短すぎます"
GAME_SMSG_CHRCREATE_E_ALREADY_SLOT,"既にキャラクターが存在します"
GAME_SMSG_CHRCREATE_E_NAME_CONFLICT,"既に同じ名前のキャラクターが存在します"
GAME_SMSG_CHRCREATE_E_NAME_BADCHAR,"キャラクター名に使用できない文字が使われています"
GAME_SMSG_CHRCREATE_E_ERROR,"不明なキャラ作成エラー(%d)"
GAME_SMSG_CHRCREATE_E_RACE,"種族が不正です"
GAME_SMSG_CHRCREATE_E_SEX,"性別が不正です"
GAME_SMSG_CHRCREATE_E_FACE,"顔が不正です"
GAME_SMSG_CHRCREATE_E_HAIR_TYPE,"髪型が不正です"
GAME_SMSG_CHRCREATE_E_HAIR_COLOR,"髪の色が不正です"

GAME_SMSG_LOGMES_ERROR_NAME,"デバッグ"
GAME_SMSG_LOGMES_SAVER_NAME,""
