# 右クリックメニュー
GAME_RMENU_DISPDATA,"情報表示"
GAME_RMENU_OPTION_9,"蘇生時に選択しない"
GAME_RMENU_OPTION_10,"作業請負を許可する"
GAME_RMENU_OPTION_11,"作業請負を不許可にする"
GAME_RMENU_OPTION_12,"師弟関係を許可する"
GAME_RMENU_OPTION_13,"師弟関係を不許可にする"
GAME_RMENU_OPTION_14,"装備の公開を許可にする"
GAME_RMENU_OPTION_15,"装備の公開を不許可にする"
GAME_RMENU_OPTION_16,"パートナーによる見た目変更を許可にする"
GAME_RMENU_OPTION_17,"パートナーによる見た目変更を不許可にする"
GAME_RMENU_OPTION_18,"フレンドを許可する"
GAME_RMENU_OPTION_19,"フレンドを不許可にする"
